script_id,imdb_character_name,words,gender,age,imdb_id,title,year,gross,proportion_of_dialogue
280,betty,311,f,35.0,tt0112579,The Bridges of Madison County,1995,142.0,0.048639349390053176
280,carolyn johnson,873,f,,tt0112579,The Bridges of Madison County,1995,142.0,0.13653425086018142
280,eleanor,138,f,,tt0112579,The Bridges of Madison County,1995,142.0,0.02158273381294964
280,francesca johns,2251,f,46.0,tt0112579,The Bridges of Madison County,1995,142.0,0.3520487957460119
280,madge,190,f,46.0,tt0112579,The Bridges of Madison County,1995,142.0,0.029715358148264
280,michael johnson,723,m,38.0,tt0112579,The Bridges of Madison County,1995,142.0,0.11307475758523616
280,robert kincaid,1908,m,65.0,tt0112579,The Bridges of Madison County,1995,142.0,0.29840475445730374
623,bobby korfin,328,m,,tt0179626,15 Minutes,2001,37.0,0.036012296881862096
623,daphne handlova,409,f,28.0,tt0179626,15 Minutes,2001,37.0,0.04490557751427317
623,deputy chief fi,347,m,,tt0179626,15 Minutes,2001,37.0,0.03809837505489679
623,detective eddie,2020,m,58.0,tt0179626,15 Minutes,2001,37.0,0.22178304787000439
623,detective leon ,366,m,53.0,tt0179626,15 Minutes,2001,37.0,0.04018445322793149
623,detective tommy,160,m,25.0,tt0179626,15 Minutes,2001,37.0,0.01756697408871322
623,emil slovak,1337,m,39.0,tt0179626,15 Minutes,2001,37.0,0.14679402722880983
623,fire marshal jo,1683,m,33.0,tt0179626,15 Minutes,2001,37.0,0.18478260869565216
623,honey the hooke,148,f,,tt0179626,15 Minutes,2001,37.0,0.016249451032059728
623,nicolette karas,801,f,34.0,tt0179626,15 Minutes,2001,37.0,0.08794466403162056
623,oleg razgul,608,m,34.0,tt0179626,15 Minutes,2001,37.0,0.06675450153711024
623,robert hawkins,596,m,46.0,tt0179626,15 Minutes,2001,37.0,0.06543697848045674
623,rose hearn,166,f,26.0,tt0179626,15 Minutes,2001,37.0,0.018225735617039964
623,stephen geller,139,m,25.0,tt0179626,15 Minutes,2001,37.0,0.01526130873956961
625,dr. andrei smys,225,m,42.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.05112474437627812
625,dr. bill michae,151,m,47.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.034310384003635536
625,dr. dave bowman,780,m,32.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.17723244717109748
625,dr. frank poole,752,m,31.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.1708702567598273
625,dr. heywood r. ,942,m,46.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.2140422631220177
625,dr. ralph halvo,918,m,59.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.2085889570552147
625,elena,155,f,37.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.035219268348102704
625,miller,141,m,40.0,tt0062622,2001: A Space Odyssey,1968,376.0,0.032038173142467624
