id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1237227955711082497,https://twitter.com/MarceeLP/status/1237227955711082497,Tue Mar 10 04:05:05 +0000 2020,2020-03-10 04:05:05+00:00,MarceeLP,"RT @marcosrmz981: ""This is the way the world ends
This is the way the world ends
This is the way the world ends
Not with a bang but with a…",retweet,,,,,0,,,,en,,,1,1237214760522973184,marcosrmz981,961978164917559297,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",327797258,Sat Jul 02 05:04:11 +0000 2011,False,El psicoanálisis hay que desearlo.,8759,273,292,0,Gt,Marce,26523,,,False
1237215000499978247,https://twitter.com/nckptmn_ebooks/status/1237215000499978247,Tue Mar 10 03:13:37 +0000 2020,2020-03-10 03:13:37+00:00,nckptmn_ebooks,"Making progress in the way the world ends; not with a bang, but with a hashtag.",original,,,,,0,,,,en,,,0,,,,"<a href=""http://nckptmn.com"" rel=""nofollow"">nckptmn_ebooks</a>",768637753546407936,Thu Aug 25 02:34:56 +0000 2016,False,oops,104,28,1,8,idk,nckptmn ebooks,35495,,,False
1237214760522973184,https://twitter.com/marcosrmz981/status/1237214760522973184,Tue Mar 10 03:12:39 +0000 2020,2020-03-10 03:12:39+00:00,marcosrmz981,"""This is the way the world ends
This is the way the world ends
This is the way the world ends
Not with a bang but with a whimper"". 

""The Hollow Men"", T.S. Eliot.",original,,,,,0,,,,en,,,1,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",961978164917559297,Fri Feb 09 15:00:42 +0000 2018,False,"Gallego errante. Renegado y heterodoxo. Hijo de Caín, #Freud ,#Gilmour ,#Cruyff ,#Yimou y #RosalíaDeCastro. Y una gata parece quererme.",11580,209,581,0,"Comunidad Valenciana, España",MRmz,3154,,,False
1237202373447016448,https://twitter.com/ShawnMathis1972/status/1237202373447016448,Tue Mar 10 02:23:26 +0000 2020,2020-03-10 02:23:26+00:00,ShawnMathis1972,"1/n

This is the way the US church ends. Not with a bang but with a whimper.

https://t.co/dVUxIKvQ56",original,,,,https://youtu.be/RfHLOUzZ0Js,5,,,,en,,False,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2853363537,Fri Oct 31 15:41:13 +0000 2014,False,"Confessional Presbyterian, Pastor, Writer, Pre-Enlightenment Reader, prior Air Force, ex-Engineer, Husband, Homeschooling Father",661,424,134,8,,Shawn Mathis,8040,,http://PastorMathis.com,False
1237199612898934784,https://twitter.com/dennisb12713172/status/1237199612898934784,Tue Mar 10 02:12:28 +0000 2020,2020-03-10 02:12:28+00:00,dennisb12713172,@StephenKing Not with a bang but with a whimper...funny....I guess all or most of your fans have had The Stand cross their minds...appreciate your comment....,reply,,,,,0,StephenKing,1236782826911150080,2233154425,en,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1061464977440157696,Sun Nov 11 03:45:46 +0000 2018,True,,6,0,11,0,,dennis bailey,11,,,False
1237197409983303682,https://twitter.com/arash_tehran/status/1237197409983303682,Tue Mar 10 02:03:43 +0000 2020,2020-03-10 02:03:43+00:00,arash_tehran,"RT @_RichardHall: This is the way the world ends. Not with a bang, but with a Smurf convention.",retweet,,,,,0,,,,en,,,75,1237049286195544064,_RichardHall,17850798,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21441975,Fri Feb 20 22:34:29 +0000 2009,False,"Writer | Translator | Historian at NYU | Cinephile | Flaneur | Former BBC
آرش عزیزی، نویسنده، مترجم، فلانور، سینمادوست، دانشجوی دکترای تاریخ در دانشگاه نیویورک",86101,20942,3938,402,"New York, NY",Arash Azizi,97114,,,True
1237197031770402816,https://twitter.com/rbclouston/status/1237197031770402816,Tue Mar 10 02:02:13 +0000 2020,2020-03-10 02:02:13+00:00,rbclouston,"RT @_RichardHall: This is the way the world ends. Not with a bang, but with a Smurf convention.",retweet,,,,,0,,,,en,,,75,1237049286195544064,_RichardHall,17850798,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4256039579,Mon Nov 23 08:53:07 +0000 2015,False,"“I am a part of all I have met.”  Ulysses, Alfred, Lord Tennyson",8883,157,318,0,"Ontario, Canada",RBClouston,6402,,,False
1237180603168145409,https://twitter.com/HealhGlyn/status/1237180603168145409,Tue Mar 10 00:56:56 +0000 2020,2020-03-10 00:56:56+00:00,HealhGlyn,"RT @BangorUniLib: Yr Apocalyps Amlieithog: not with a bang but with a whimper (os hynny)
 - Aled Llion Jones @prifysgolbangor @BangorUni…",retweet,,,,,0,,,,cy,,,3,1237041357572788226,BangorUniLib,48728012,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",805708723616448512,Mon Dec 05 09:41:43 +0000 2016,False,"I am the Primary Author of Circle of Logres: Encyclopædia Arthuriana.  
 I am a Druí Alchemist who is degreed in Physics.",113605,741,154,37,Avalon,Glyn Hnutu-healh,189180,,http://www.CircleOfLogres.com/,False
1237177605360693249,https://twitter.com/devarbol/status/1237177605360693249,Tue Mar 10 00:45:01 +0000 2020,2020-03-10 00:45:01+00:00,devarbol,"@JonathanMetzl cc @toad_spotted not with a bang, but with a cruise",reply,,,,,0,JonathanMetzl,1237164581706960896,1028532780,en,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1184553171445846016,Wed Oct 16 19:34:27 +0000 2019,False,,10,395,22,8,,v,2366,,,False
1237168623476789248,https://twitter.com/ap_bryn/status/1237168623476789248,Tue Mar 10 00:09:19 +0000 2020,2020-03-10 00:09:19+00:00,ap_bryn,@piersmorgan @BorisJohnson Your boys Piers. This is the way the world ends ... not with a bang but with a fuck wit.,reply,,,,,0,piersmorgan,1237123732805758977,216299334,en,,,0,,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",2178903755,Wed Nov 13 00:25:42 +0000 2013,False,GTTO. Gog. liberté égalité fraternité Leftie. JC for PM.# Extinction rebellion.,11975,522,1281,2,,BryJo,4681,,,False
1237162903020724225,https://twitter.com/StrangeGestures/status/1237162903020724225,Mon Mar 09 23:46:36 +0000 2020,2020-03-09 23:46:36+00:00,StrangeGestures,"This is the way the world ends
This is the way the world ends
This is the way the world ends
Not with a bang but with a cough.

#coronavirus #Coronavirusnyc #CoronavirusUSA #TSEliot",original,,coronavirus Coronavirusnyc CoronavirusUSA TSEliot,,,1,,,,en,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",133162598,Thu Apr 15 04:51:03 +0000 2010,False,Unmutual and disharmonious.,378,54,199,0,"Brooklyn, NY",Alexander Strange,389,,https://www.facebook.com/alexander.strange93,False
1237156622323122176,https://twitter.com/sarakareem/status/1237156622323122176,Mon Mar 09 23:21:38 +0000 2020,2020-03-09 23:21:38+00:00,sarakareem,"RT @_RichardHall: This is the way the world ends. Not with a bang, but with a Smurf convention.",retweet,,,,,0,,,,en,,,75,1237049286195544064,_RichardHall,17850798,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",186762099,Sat Sep 04 09:38:10 +0000 2010,False,I sell and read books for a living. -Penguin Random House MENA Sales Manager,3204,528,862,13,"Cairo, Egypt",Sara ElNemr,4642,,,False
1237156382132051968,https://twitter.com/atunafrittata/status/1237156382132051968,Mon Mar 09 23:20:41 +0000 2020,2020-03-09 23:20:41+00:00,atunafrittata,"RT @AlanGrayson: This is the way the world ends. This is the way the world ends. Not with a bang, but with a bing bong. https://t.co/qhULxA…",retweet,,,,,0,,,,en,,,4745,727665398171062272,AlanGrayson,41017380,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1105688883646353409,Wed Mar 13 04:35:47 +0000 2019,False,"🦠*NOW FEATURING CORONAVIRUS*🦠
💅Avoids windowless vans in dark parking lots, but somehow feels safe here?🐩",1187,128,597,0,incognito definito,🎶ᴀ-ᴛᴜɴᴀ-ꜰʀɪᴛᴛᴀᴛᴀ 🎶,934,,,False
1237155492004315137,https://twitter.com/RESISTNEWYORK1/status/1237155492004315137,Mon Mar 09 23:17:09 +0000 2020,2020-03-09 23:17:09+00:00,RESISTNEWYORK1,"RT @AlanGrayson: This is the way the world ends. This is the way the world ends. Not with a bang, but with a bing bong. https://t.co/qhULxA…",retweet,,,,,0,,,,en,,,4745,727665398171062272,AlanGrayson,41017380,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1108899979026984960,Fri Mar 22 01:15:32 +0000 2019,False,** lost 11K followers #VoteBlueNoMatterWho #HandPaperBallots 🇺🇸 🌊#EndGerrymandering #TurnSenateBlue #Biden2020 #AbolishElectoralCollege #StopVoterSuppression,991,933,1087,0,,Jon@New York,7163,,,False
